AnyDesk	com.anydesk.Anydesk	6.3.3	stable	system
Boxy SVG	com.boxy_svg.BoxySVG	4.66.0	stable	system
Brave	com.brave.Browser	1.78.94	stable	system
calibre	com.calibre_ebook.calibre	8.3.0	stable	system
GrafX2	com.chez.GrafX2	2.7	stable	system
Discord	com.discordapp.Discord	0.0.94	stable	system
Pinta	com.github.PintaProject.Pinta	3.0	stable	system
ScanTailor Advanced	com.github._4lex4.ScanTailor-Advanced	v1.0.16	stable	system
NormCap	com.github.dynobo.normcap	0.5.9	stable	system
Eyedropper	com.github.finefindus.eyedropper	2.1.0	stable	system
LibreSprite	com.github.libresprite.LibreSprite	1.1-dev	stable	system
Czkawka	com.github.qarmin.czkawka	9.0.0	stable	system
Szyszka	com.github.qarmin.szyszka	3.0.0	stable	system
Flatseal	com.github.tchx84.Flatseal	2.3.1	stable	system
Frog	com.github.tenderowl.frog	1.6.0	stable	system
SyncThingy	com.github.zocker_160.SyncThingy	0.8.1	stable	system
Gitnuro	com.jetpackduba.Gitnuro	1.4.3	stable	system
Logseq	com.logseq.Logseq	0.10.9	stable	system
OBS Studio	com.obsproject.Studio	31.0.3	stable	system
Pixelorama	com.orama_interactive.Pixelorama	1.1.1	stable	system
VidCutter	com.ozmartians.VidCutter	6.0.5.4	stable	system
RawTherapee	com.rawtherapee.RawTherapee	5.11	stable	system
TreeSheets	com.strlen.TreeSheets	14853365846	stable	system
Penpot Desktop	com.sudovanilla.penpot-desktop	0.3.1	stable	system
Birdtray	com.ulduzsoft.Birdtray	1.11.4	stable	system
Bottles	com.usebottles.bottles	51.21	stable	system
Bruno	com.usebruno.Bruno	v2.2.0	stable	system
Visual Studio Code	com.visualstudio.code	1.99.3	stable	system
Xpano	cz.krupkat.Xpano	0.19.3	stable	system
Reaper	fm.reaper.Reaper	v7.35	stable	system
HandBrake	fr.handbrake.ghb	1.9.2	stable	system
Natron	fr.natron.Natron	2.5.0	stable	system
AppFlowy	io.appflowy.AppFlowy	0.9.1	stable	system
FreeTube	io.freetubeapp.FreeTube	0.23.5 Beta	stable	system
GDevelop	io.gdevelop.ide	5.5.228	stable	system
HexChat	io.github.Hexchat	2.16.2	stable	system
Godots	io.github.MakovWait.Godots	v1.3.stable	stable	system
OpenToonz	io.github.OpenToonz	1.7.1	stable	system
Cohesion	io.github.brunofin.Cohesion	1.0.9	stable	system
FSearch	io.github.cboxdoerfer.FSearch	0.2.3	stable	system
BoxBuddy	io.github.dvlv.boxbuddyrs	2.5.3	stable	system
