Name                                  Version                         Rev    Tracking         Publisher        Notes
bare                                  1.0                             5      latest/stable    canonical**      base
chezmoi                               2.62.2                          1024   latest/stable    twpayne          classic
chezmoi                               2.62.1                          1018   latest/stable    twpayne          disabled,classic
code                                  17baf841                        191    latest/stable    vscode**         classic
code                                  4949701c                        190    latest/stable    vscode**         disabled,classic
core                                  16-2.61.4-20240607              17200  latest/stable    canonical**      core
core                                  16-2.61.2                       16928  latest/stable    canonical**      core,disabled
core18                                20250123                        2855   latest/stable    canonical**      base
core18                                20240920                        2846   latest/stable    canonical**      base,disabled
core20                                20250407                        2571   latest/stable    canonical**      base
core20                                20250213                        2501   latest/stable    canonical**      base,disabled
core22                                20250315                        1908   latest/stable    canonical**      base,disabled
core22                                20250408                        1963   latest/stable    canonical**      base
core24                                20250318                        888    latest/stable    canonical**      base
core24                                20241217                        739    latest/stable    canonical**      base,disabled
dakanji                               3.4.2                           24     latest/stable    daapplab         -
element-desktop                       1.11.97                         142    latest/stable    ken-vandine*     disabled
element-desktop                       1.11.99                         146    latest/stable    ken-vandine*     -
firmware-updater                      0+git.7983059                   147    latest/stable/…  canonical**      disabled
firmware-updater                      0+git.22198be                   167    latest/stable/…  canonical**      -
gfeeds                                2.2.0                           20     latest/stable    soumyadghosh*    -
gnome-3-28-1804                       3.28.0-19-g98f9e67.98f9e67      198    latest/stable    canonical**      -
gnome-42-2204                         0+git.510a601                   176    latest/stable/…  canonical**      disabled
gnome-42-2204                         0+git.38ea591                   202    latest/stable/…  canonical**      -
gnome-46-2404                         0+git.7d0cf36                   77     latest/stable    canonical**      disabled
gnome-46-2404                         0+git.d9f8bf6-sdk0+git.c8a281c  90     latest/stable    canonical**      -
gtk-common-themes                     0.1-81-g442e511                 1535   latest/stable/…  canonical**      -
kde-frameworks-5-99-qt-5-15-7-core20  5.99.0                          7      latest/stable    kde**            -
kf5-5-113-qt-5-15-11-core22           5.113                           1      latest/stable    kde**            -
mesa-2404                             24.0.9                          143    latest/stable    canonical**      disabled
mesa-2404                             24.2.8                          495    latest/stable    canonical**      -
musescore                             3.6.2                           228    latest/stable    musescore**      -
odrive-unofficial                     0.2.0                           4      latest/stable    snap-quarantine  -
penpot-desktop                        0.3.1                           12     latest/stable    sudovanilla      -
photoscape                            3.7-1                           68     latest/stable    snapcrafters*    -
rustup                                1.27.0                          1465   latest/stable    canonical**      disabled,classic
rustup                                1.27.1                          1471   latest/stable    canonical**      classic
snap-store                            41.3-72-g80e7130                1216   latest/stable    canonical**      -
snap-store                            41.3-77-g7dc86c8                1113   latest/stable    canonical**      disabled
snapd                                 2.68.4                          24505  latest/stable    canonical**      snapd
snapd                                 2.67.1                          23771  latest/stable    canonical**      snapd,disabled
thunderbird                           128.9.1esr-2                    706    latest/stable/…  canonical**      disabled
thunderbird                           128.10.0esr-1                   721    latest/stable/…  canonical**      -
typst                                 0.13.0                          7      latest/stable    reknih           disabled
typst                                 0.13.1                          8      latest/stable    reknih           -
webkitgtk-6-gnome-2204                0+git.3c2f6a6                   31     latest/stable    snapcrafters*    -
wine-platform-5-stable                5.0.3                           18     latest/stable    mmtrt            -
wine-platform-runtime                 v1.0                            397    latest/stable    mmtrt            -
wine-platform-runtime                 v1.0                            396    latest/stable    mmtrt            disabled
zoom-client                           6.4.6.1370                      258    latest/stable    ogra             -
zoom-client                           6.2.3.2056                      242    latest/stable    ogra             disabled
